park_states,park_parkCode,park_designation,park_fullName,park_url,park_name,id,name
UT,gosp,National Historical Park,Golden Spike National Historical Park,https://www.nps.gov/gosp/index.htm,Golden Spike,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NV,grba,National Park,Great Basin National Park,https://www.nps.gov/grba/index.htm,Great Basin,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
AZ,grca,National Park,Grand Canyon National Park,https://www.nps.gov/grca/index.htm,Grand Canyon,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NJ,greg,,Great Egg Harbor River,https://www.nps.gov/greg/index.htm,Great Egg Harbor River,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
VA,grfa,Park,Great Falls Park,https://www.nps.gov/grfa/index.htm,Great Falls,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MT,grko,National Historic Site,Grant-Kohrs Ranch National Historic Site,https://www.nps.gov/grko/index.htm,Grant-Kohrs Ranch,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MN,grpo,National Monument,Grand Portage National Monument,https://www.nps.gov/grpo/index.htm,Grand Portage,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
CO,grsa,National Park & Preserve,Great Sand Dunes National Park & Preserve,https://www.nps.gov/grsa/index.htm,Great Sand Dunes,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"NC,TN",grsm,National Park,Great Smoky Mountains National Park,https://www.nps.gov/grsm/index.htm,Great Smoky Mountains,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
WY,grte,National Park,Grand Teton National Park,https://www.nps.gov/grte/index.htm,Grand Teton,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NC,guco,National Military Park,Guilford Courthouse National Military Park,https://www.nps.gov/guco/index.htm,Guilford Courthouse,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"FL,MS",guis,National Seashore,Gulf Islands National Seashore,https://www.nps.gov/guis/index.htm,Gulf Islands,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
TX,gumo,National Park,Guadalupe Mountains National Park,https://www.nps.gov/gumo/index.htm,Guadalupe Mountains,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
MO,gwca,National Monument,George Washington Carver National Monument,https://www.nps.gov/gwca/index.htm,George Washington Carver,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
"WV,VA,MD",hafe,National Historical Park,Harpers Ferry National Historical Park,https://www.nps.gov/hafe/index.htm,Harpers Ferry,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
ID,hafo,National Monument,Hagerman Fossil Beds National Monument,https://www.nps.gov/hafo/index.htm,Hagerman Fossil Beds,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
NY,hagr,National Memorial,Hamilton Grange National Memorial,https://www.nps.gov/hagr/index.htm,Hamilton Grange,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
